date,BA,CAT,DIS,GE,IBM,KO
2000-01-03,27.180308388934,14.984243783485,23.839400996622,29.005612679284,85.155441781555,17.77975425498
2000-01-04,27.139730670513,14.790123413679998,25.235617587789,27.845388172112997,82.263093155526,17.839810313797
2000-01-05,29.040120483225003,15.347834317404,26.129196206137,27.797045484313998,85.155441781555,18.035782716252
2000-01-06,29.121275920067,15.90862649684,25.235617587789,28.168317326609,83.687244509459,18.016817645047
2000-01-07,29.966645053836004,16.426280816318,24.836698561741,29.25892836335,83.320195191435,19.202134595379
2000-01-10,29.547341963487,15.887057566861,28.626429309196,29.247326118277996,86.623639053651,18.588930626407002
2000-01-11,29.080698201645998,15.637474234254999,28.921629388472,29.295668806077,87.35773768969801,19.221099666584
2000-01-12,29.121275920067,15.90862649684,26.879163975107,29.392354181675,87.724787007722,19.439197985445002
2000-01-13,28.661395111297,16.081177936666,27.772742593453998,29.730752996266,86.80716371266199,19.142078536562
2000-01-14,29.756993508660997,16.004146043886003,26.775445028333998,29.198983430479004,87.812878844048,19.300120796606
2000-01-18,30.433288815675997,15.488032362263,27.525412797304,28.618871176894,84.971917122543,20.545493805755
2000-01-19,32.211945473126,15.292648694096998,27.724872310328003,28.758098117754002,87.724787007722,20.624514935777
2000-01-20,31.447731776199003,14.616559175679999,26.831293691981,28.220527429432,87.35773768969801,20.823648183433
2000-01-21,30.899932577517,14.694092377333,26.129196206137,27.870526369768,89.192984279818,21.139732703521
2000-01-24,29.966645053836004,14.052117467644,26.575985515310002,26.710301862597,89.192984279818,20.507563663343998
2000-01-25,30.899932577517,13.531094352534002,29.918926953592,26.781849040538997,87.445829526024,20.823648183433
2000-01-26,31.238080231024,13.937368329197,29.224807848268,27.350359049053,85.70601575859101,19.932289836783
2000-01-27,30.473866534097,13.819517862684,29.623726874316002,27.410303981924,83.320195191435,18.807028945267998
2000-01-28,30.183059552080998,13.490777087674001,29.32054841452,25.911680660161,81.896043837502,17.997852573841
2000-01-31,30.095141162169,13.162036312664002,28.969499671598,25.911680660161,82.402571896375,18.155894833886002
2000-02-01,29.587919681908,13.394635917623999,28.722169875448,26.298422162551,80.750849965267,18.373993152746998
2000-02-02,30.183059552080998,13.472169119277,29.719467440568,25.923282905232,83.320195191435,17.820845242592
2000-02-03,29.378268136733,13.121719047804,30.222105413388,26.926877103935,85.977632253928,17.463669734892
2000-02-04,29.756993508660997,13.121719047804,30.421564926412,27.373563539196,84.876484299857,17.77975425498
2000-02-07,28.275906786298,12.792978272794,30.317845979639,26.395107538149,83.77533634578499,17.978887502636002
2000-02-08,27.728107587616,12.715445071141,29.966797236717,26.503395158818,87.306350785175,18.076873703863
2000-02-09,26.470198316568,12.135496722774,30.070516183490003,25.923282905232,86.248181059305,18.016817645047
2000-02-10,26.979240591887002,11.803654619698,29.472137644418,26.190134541882,87.534151212272,17.918831443819002
